ratio,maximum,success
99.481,8287.0,2493.0
92.79,12558.0,6036.0
99.289,8366.0,2792.0
80.094,12742.0,5955.0
99.054,8409.0,2618.0
94.194,12946.0,4997.0
99.051,8560.0,2610.0
99.325,13193.0,4859.0
99.201,8561.0,2360.0
80.918,13251.0,5797.0
99.089,8599.0,2393.0
99.152,13220.0,4678.0
99.612,8599.0,2308.0
99.076,13228.0,5039.0
99.098,8539.0,2416.0
73.185,13265.0,7770.0
99.594,8623.0,2455.0
99.351,13324.0,5974.0
99.387,8653.0,2596.0
70.737,13351.0,8243.0
99.274,8634.0,2325.0
87.731,13153.0,5549.0
98.683,8607.0,1798.0
84.796,12856.0,4523.0
99.27,8291.0,1360.0
81.086,12281.0,3361.0
99.588,7910.0,2899.0
91.769,11436.0,3501.0
98.771,7342.0,1045.0
82.389,10761.0,2152.0
98.782,7077.0,811.0
86.68,10263.0,1744.0
99.35,6954.0,764.0
97.69,9956.0,1565.0
98.18,6804.0,863.0
77.43,9843.0,2278.0
99.432,6833.0,1226.0
74.253,10251.0,3452.0
99.369,7307.0,2205.0
74.839,11168.0,5678.0
99.38,7892.0,2727.0
69.698,12176.0,6491.0
99.567,8655.0,3216.0
72.624,12983.0,6542.0
99.222,8863.0,3060.0
81.331,13539.0,6857.0
99.246,8969.0,2894.0
90.53,13743.0,6988.0
98.81,9001.0,3156.0
98.76,13891.0,6847.0
98.7,9022.0,3417.0
99.476,14348.0,14626.0
99.26,8907.0,5902.0
99.047,14635.0,9148.0
98.346,8772.0,2498.0
60.979,14631.0,9042.0
98.688,8831.0,2933.0
82.88,14067.0,7586.0
98.967,8710.0,3258.0
81.531,13993.0,6401.0
98.016,8686.0,2618.0
73.972,13984.0,6818.0
98.495,8668.0,2880.0
66.013,13959.0,6666.0
99.021,8661.0,3035.0
73.877,14114.0,7760.0
98.945,8621.0,3095.0
66.497,14133.0,7453.0
98.777,8614.0,2907.0
79.577,14069.0,7146.0
98.956,8524.0,2275.0
79.566,13771.0,5027.0
98.695,8218.0,1286.0
80.82,13012.0,2975.0
99.316,7803.0,2612.0
82.416,12042.0,3548.0
